Date,Open,High,Low,Close,Adj Close,Volume,days
2018-02-22,1532.790039,1548.290039,1529.199951,1529.98999,1529.98999,3720620000,0
2018-02-23,1531.349976,1549.189941,1531.349976,1549.189941,1549.189941,3200360000,1
2018-02-26,1550.089966,1560.73999,1544.98999,1559.329956,1559.329956,3436590000,2
2018-02-27,1559.27002,1564.630005,1536.469971,1536.469971,1536.469971,3752070000,3
2018-02-28,1536.800049,1543.75,1512.449951,1512.449951,1512.449951,4244570000,4
2018-03-01,1512.069946,1522.469971,1494.290039,1507.390015,1507.390015,4514490000,5
2018-03-02,1506.810059,1535.199951,1494,1533.170044,1533.170044,3891250000,6
2018-03-05,1531.98999,1550.76001,1525.079956,1546.050049,1546.050049,3733640000,7
2018-03-06,1546.719971,1562.199951,1538.630005,1562.199951,1562.199951,3389030000,8
2018-03-07,1560.969971,1576.72998,1550.469971,1574.530029,1574.530029,3406690000,9
2018-03-08,1575.650024,1580.48999,1564.589966,1571.969971,1571.969971,3206040000,10
2018-03-09,1573.189941,1597.300049,1573.189941,1597.140015,1597.140015,3376870000,11
2018-03-12,1597.290039,1603.790039,1594.109985,1601.060059,1601.060059,3216960000,12
2018-03-13,1601.650024,1609.050049,1590.109985,1592.050049,1592.050049,3324290000,13
2018-03-14,1592.459961,1598.329956,1582.640015,1584.310059,1584.310059,3394630000,14
2018-03-15,1584.400024,1588.02002,1572.160034,1576.619995,1576.619995,3543710000,15
2018-03-16,1576.579956,1588.920044,1575.410034,1586.050049,1586.050049,5429140000,16
2018-03-19,1585.829956,1585.829956,1553.900024,1570.560059,1570.560059,3327460000,17
2018-03-20,1570.849976,1575.780029,1566.75,1570.410034,1570.410034,3272590000,18
2018-03-21,1570.400024,1587.73999,1570.400024,1579.300049,1579.300049,3434780000,19
2018-03-22,1576.589966,1576.589966,1543.869995,1543.869995,1543.869995,3765460000,20
2018-03-23,1544.310059,1548.72998,1510.079956,1510.079956,1510.079956,3829380000,21
2018-03-26,1513.540039,1543.810059,1513.540039,1543.719971,1543.719971,3538080000,22
2018-03-27,1544.449951,1547.709961,1508.939941,1513.569946,1513.569946,3761320000,23
2018-03-28,1513.800049,1521.349976,1505.640015,1513.030029,1513.030029,3875720000,24
2018-03-29,1513.310059,1540.02002,1513.310059,1529.430054,1529.430054,3572360000,25
2018-04-02,1529.140015,1529.140015,1482.900024,1492.530029,1492.530029,3635780000,26
2018-04-03,1493.869995,1514.560059,1493.869995,1512.150024,1512.150024,3395840000,27
2018-04-04,1508.599976,1534.569946,1491.689941,1531.660034,1531.660034,3369230000,28
2018-04-05,1532.949951,1545.280029,1532.949951,1542.930054,1542.930054,3230430000,29
2018-04-06,1540.01001,1541.069946,1502.630005,1513.300049,1513.300049,3312390000,30
2018-04-09,1513.900024,1533.939941,1513.900024,1514.459961,1514.459961,3076140000,31
2018-04-10,1517.050049,1548.079956,1517.050049,1543.430054,1543.430054,3579130000,32
2018-04-11,1542.459961,1551.369995,1535.76001,1546.800049,1546.800049,3054520000,33
2018-04-12,1548.030029,1562.459961,1548.030029,1557.329956,1557.329956,3045330000,34
2018-04-13,1558.109985,1563.75,1545.060059,1549.51001,1549.51001,2988540000,35
2018-04-16,1550.560059,1566.400024,1550.51001,1563.030029,1563.030029,3020740000,36
2018-04-17,1564.869995,1582.98999,1564.869995,1579.800049,1579.800049,3286190000,37
2018-04-18,1580.180054,1592.040039,1580.180054,1583.560059,1583.560059,3412030000,38
2018-04-19,1582.819946,1582.949951,1569.160034,1573.819946,1573.819946,3375120000,39
2018-04-20,1573.530029,1574.23999,1561.719971,1564.119995,1564.119995,3428260000,40
2018-04-23,1564.420044,1571.469971,1556.27002,1562.119995,1562.119995,3030390000,41
2018-04-24,1562.390015,1574.47998,1542.300049,1553.280029,1553.280029,3716020000,42
2018-04-25,1553,1556.089966,1539.949951,1550.469971,1550.469971,3563680000,43
2018-04-26,1550.920044,1562.5,1550.310059,1557.890015,1557.890015,3690920000,44
2018-04-27,1557.949951,1562.97998,1549.47998,1556.23999,1556.23999,3234510000,45
2018-04-30,1556.670044,1563.650024,1541.880005,1541.880005,1541.880005,3749510000,46
2018-05-01,1541.77002,1550.859985,1527.709961,1550.329956,1550.329956,3562820000,47
2018-05-02,1550.449951,1565.369995,1548.920044,1554.910034,1554.910034,4047020000,48
2018-05-03,1554.339966,1554.339966,1532.310059,1546.560059,1546.560059,3867530000,49
2018-05-04,1545.829956,1572.77002,1540.369995,1565.599976,1565.599976,3335260000,50
2018-05-07,1565.719971,1586.410034,1565.719971,1578.949951,1578.949951,3266810000,51
2018-05-08,1578.670044,1586.589966,1576.890015,1586.390015,1586.390015,3745100000,52
